,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Atrnl1,-0.27278729,4.424607481,-0.691676095,0.489177571,0.999823494,-4.837179715,-0.691617497
Atrx,-0.063544851,8.321118974,-0.823944182,0.409975393,0.999823494,-5.087763363,-0.823936933
Atxn1,0.152348774,5.647832401,0.924721508,0.355115686,0.999823494,-5.007802133,0.924712096
Atxn10,0.039680841,7.589449327,0.397060244,0.691324621,0.999823494,-5.322728729,0.397058095
Atxn1l,-0.014088972,5.949132618,-0.1174634,0.906493467,0.999823494,-5.317032721,-0.117462616
Atxn2,0.084529593,6.552429977,0.750067651,0.453217028,0.999823494,-5.165746541,0.750062559
Atxn2l,-0.027071762,7.126359975,-0.247483123,0.804535215,0.999823494,-5.38164166,-0.247482007
Atxn3,0.107856208,4.25622667,0.990387004,0.321998174,0.999823494,-4.834541392,0.990360031
Atxn7,0.152255171,5.005343324,0.832416829,0.405180681,0.999823494,-4.997197423,0.832404468
Atxn7l1,-0.054466846,5.416827636,-0.315075905,0.752706753,0.999823494,-5.200037302,-0.315072308
Atxn7l2,-0.04548709,3.848285857,-0.207157873,0.835946063,0.999823494,-4.767479374,-0.207081688
Atxn7l3,-0.024781285,7.413547799,-0.137234315,0.890854865,0.999823494,-4.920680266,-0.137222578
Atxn7l3b,-0.008749945,8.137631913,-0.091765101,0.926885613,0.999823494,-5.204453845,-0.091763918
Auh,-0.106230868,0.013987283,-0.320919619,0.748381221,0.999823494,-4.751077279,-0.320774584
Aunip,-0.125165805,4.53479003,-1.35276452,0.17614578,0.999823494,-4.568572055,-1.352717868
Aup1,0.053519048,5.750582423,0.67442742,0.500044317,0.999823494,-5.113899525,0.674420022
Aurka,0.016693827,3.441299012,0.081270399,0.935229043,0.999823494,-5.041297941,0.081267722
Aurkaip1,0.028175788,5.98457669,0.288265875,0.773144562,0.999823494,-5.317119343,0.28826413
Aurkb,-0.497808107,-0.910953394,-0.698737586,0.485275024,0.999823494,-4.66424299,-0.697843576
Aven,0.055726992,5.118238795,0.235042455,0.814190631,0.999823494,-4.91915849,0.235023322
Avil,-0.335591386,2.242682831,-1.345524668,0.178547987,0.999823494,-4.499603381,-1.345239243
Avl9,0.10095013,7.472852412,0.51764203,0.604733605,0.999823494,-4.899735762,0.517605413
Avp,0.450005776,6.962945483,0.663190948,0.507269949,0.999823494,-4.792665995,0.663094632
Avpi1,0.0040706,4.653329931,0.02141391,0.982917987,0.999823494,-4.858473669,0.021410764
Avpr1a,0.309796404,2.613986458,0.406946592,0.684083,0.999823494,-4.851566795,0.406897871
Avpr1b,-0.444831599,0.198355077,-0.18932618,0.851180556,0.999823494,-4.618605369,-0.187612335
Axdnd1,-0.08663183,2.074513852,-0.423984993,0.671610799,0.999823494,-4.861124954,-0.423938317
Axin1,0.033972337,5.945623187,0.193377537,0.846669712,0.999823494,-5.010521849,0.193369357
Axin2,0.008226113,5.541765395,0.050661869,0.959595535,0.999823494,-5.185327405,0.05066115
Axl,-0.230503471,5.472027969,-1.067882742,0.285606687,0.999823494,-4.705221082,-1.06780898
Azgp1,0.394872102,0.035783089,0.44638198,0.655836634,0.999823494,-4.671081449,0.445668622
Azi2,0.023680294,6.164744656,0.17822644,0.858553979,0.999823494,-4.957168766,0.178215192
Azin1,0.021306635,7.026751759,0.204752515,0.837766642,0.999823494,-5.299679965,0.204751038
Azin2,-0.207441577,5.303706868,-1.290353317,0.196940495,0.999823494,-4.638056846,-1.29031735
B2m,-0.128061948,8.857593792,-1.152032662,0.24931398,0.999823494,-4.82430864,-1.152017262
B3galnt1,-0.153722421,5.921107027,-0.950790396,0.341716793,0.999823494,-4.965172079,-0.950778571
B3galnt2,0.008383297,5.67275715,0.037107259,0.970406665,0.999823494,-4.807897663,0.037098253
B3galt1,0.277735979,4.470895616,1.016234765,0.309539634,0.999823494,-4.763982981,1.016188495
B3galt2,-0.169088954,3.198247381,-0.61009272,0.541869056,0.999823494,-4.790133416,-0.609989058
B3galt4,-0.074491668,4.226791272,-0.632135838,0.527307175,0.999823494,-5.01816149,-0.632121978
B3galt5,-0.082763523,2.935340961,-0.158686859,0.874273213,0.999823494,-4.650127423,-0.158232984
B3galt6,-0.144696137,4.08553471,-1.045603039,0.295764072,0.999823494,-4.760866044,-1.045560331
B3gat1,-0.126326678,5.3384221,-0.415251898,0.677966891,0.999823494,-5.02754349,-0.415239082
B3gat2,0.178606285,1.289538106,0.488507109,0.625489938,0.999823494,-4.695177706,0.488084572
B3gat3,0.070853398,7.2959906,0.397952146,0.690668,0.999823494,-5.23838548,0.397948701
B3glct,-0.425736305,3.815232826,-1.917778539,0.055173206,0.999823494,-4.060968037,-1.917509732
B3gnt2,0.01153815,5.498915164,0.023253248,0.981528445,0.999823494,-4.635017908,0.02315273
B3gnt3,-0.215932285,1.404977151,-0.45666623,0.64846116,0.999823494,-4.667248594,-0.455901015
B3gnt4,-0.204939377,1.514253582,-1.013324486,0.311039534,0.999823494,-4.647748586,-1.013043186
B3gnt5,0.026072955,2.137303641,0.062069198,0.950582189,0.999823494,-4.680337779,0.061975693
B3gnt7,-0.328160259,2.616883979,-1.474299574,0.140493798,0.999823494,-4.421979723,-1.473954664
B3gnt8,-0.084672648,1.559808814,-0.105426737,0.916550921,0.999823494,-4.627251447,-0.104779319
B3gnt9,-0.129141267,1.114361797,-0.212029993,0.832232577,0.999823494,-4.708814187,-0.211839082
B3gntl1,-0.049646073,6.658234927,-0.58107476,0.561192319,0.999823494,-5.261689405,-0.581071422
B4galnt1,-0.020416864,5.70114737,-0.047098738,0.962435016,0.999823494,-5.203153218,-0.047098132
B4galnt3,0.178117453,1.843026178,0.725483846,0.468224283,0.999823494,-4.770867613,0.725371287
B4galnt4,-0.068339182,6.734839361,-0.494330834,0.621075613,0.999823494,-5.213158761,-0.4943265
