Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0528.2,ZNF263,0.15,85,6.5,17669,5.7,Up,22028.5,0.595608391157013,13,11,3123,3032,Down,0.054882997302562,-0.136990715332048,-0.188669661548815,-1.26056217870769
MA1145.1,FOSL2::JUND(var.2),0.12,0,0,578,0.2,Down,23049,0.398683552646456,13,0,3123,423,Down,0.237709589690495,-3.818808578698392,-1.872157846930154,-0.623953297591732
MA1640.1,MEIS2(var.2),0.13,2,0.2,2099,0.7,Down,27311.5,0.031367962213227,13,1,3123,1375,Down,0.009228233835733,-2.176566195845808,-1.98671761119301,-2.034881409352291
MA0499.2,MYOD1,0.12,27,2.1,4879,1.6,Up,25992,0.080577460715474,13,12,3123,2369,Up,0.210159250707861,-0.254806090660828,0.287549556544169,0.677451488632822
MA0757.1,ONECUT3,0.15,1,0.1,742,0.2,Down,22856,0.432610579172815,13,1,3123,626,Down,0.485402608237476,-2.743851058342983,-0.852147886198659,-0.313897894382123
MA0046.2,HNF1A,0.15,0,0,537,0.2,Down,22639.5,0.472586924010263,13,0,3123,360,Down,0.384753723045211,-3.93498993374408,-1.639795136838778,-0.414817169052902
MA0002.2,RUNX1,0.12,53,4.1,12724,4.1,Up,21404.5,0.734469582776787,13,11,3123,3030,Down,0.057016011966917,-0.137466616731757,-0.187717858749397,-1.244003163058351
MA0760.1,ERF,0.09,0,0,681,0.2,Down,23790,0.283976644938957,13,0,3123,537,Down,0.142792198980722,-3.64685718612608,-2.216060632074778,-0.845295518275314
MA1573.1,THAP11,0.1,0,0,204,0.1,Down,21424,0.729965308655092,13,0,3123,173,Down,0.999999999986357,-4.462521732075361,-0.584731540176216,-0.000000000005925
MA1657.1,ZNF652,0.11,1,0.1,760,0.2,Down,23033,0.401433737346392,13,1,3123,653,Down,0.325065319704783,-2.713414695106196,-0.913020612672232,-0.48802936167658
MA1113.2,PBX2,0.15,9,0.7,3823,1.2,Down,24355.5,0.213127229303739,13,5,3123,1801,Down,0.172581730704646,-1.044710380832447,-0.501491005387448,-0.763005180081418
MA1491.1,GLI3,0.06,1,0.1,41,0,Up,21594.5,0.690993164760336,13,1,3123,41,Up,0.161065039223446,-4.701916692330451,3.063983381776277,0.792998717309284
MA0728.1,Nr2f6(var.2),0.08,0,0,1,0,Down,20306,0.998408052191647,13,0,3123,1,Down,0.999999999992661,-7.889436408003913,6.269097811680889,0.000000000003187
MA1476.1,DLX5,0.06,35,2.7,13510,4.3,Down,25591.5,0.104288432750125,13,10,3123,2767,Down,0.179439468427662,-0.268575146140654,-0.187989866488109,-0.746082025979229
MA0674.1,NKX6-1,0.12,43,3.3,18412,5.9,Down,26758,0.04742628650189,13,10,3123,2875,Down,0.079569368609522,-0.240960385780458,-0.243219387208501,-1.099254088093107
MA0717.1,RAX2,0.05,35,2.7,13510,4.3,Down,25591.5,0.104288432750125,13,10,3123,2767,Down,0.179439468427662,-0.268575146140654,-0.187989866488109,-0.746082025979229
MA0470.2,E2F4,0.12,0,0,554,0.2,Down,23289.5,0.358724876569329,13,0,3123,460,Down,0.236914974533724,-3.758388985318823,-1.992997033689291,-0.6254074882353
MA0625.1,NFATC3,0.05,60,4.6,13568,4.3,Up,20618,0.922118591359117,13,12,3123,3020,Down,0.355505318565381,-0.079703727858849,-0.062655169059789,-0.449153897588735
MA0627.2,POU2F3,0.06,3,0.2,444,0.1,Up,22316,0.535932064826717,13,3,3123,401,Up,0.229260486788173,-2.453612108577032,1.012159056942335,0.639670789790668
MA1420.1,IRF5,0.09,0,0,14,0,Down,20390.5,0.977715613834982,13,0,3123,14,Down,0.999999999988137,-6.252927160800705,2.996079317274473,0.000000000005152
MA0678.1,OLIG2,0.15,8,0.6,2170,0.7,Down,23067.5,0.395517833822674,13,2,3123,980,Down,0.36787590246376,-2.052266700824735,-0.761385412902742,-0.434298659490904
MA0095.2,YY1,0.1,15,1.2,2120,0.7,Up,26774,0.046879787667865,13,10,3123,1505,Up,0.050316834043773,-0.707745450612772,0.690350742456128,1.298286692693447
MA1496.1,HOXA4,0.09,23,1.8,11034,3.5,Down,26757.5,0.047443450545645,13,8,3123,2627,Down,0.043223536793808,-0.458448713314551,-0.417951895197156,-1.364279699572393
