,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Ei24,0.049847504,6.713685216,0.585775487,0.558028972,0.927988429,-5.332771802,0.585771658
Foxk2,-0.061138788,5.918415079,-0.586038594,0.557852792,0.927988429,-5.289242857,-0.586033813
Hectd3,-0.045908746,5.769145856,-0.588096441,0.556470934,0.927988429,-5.279916503,-0.588091417
LOC113178615,0.113766626,0.975324523,0.586957743,0.557357436,0.927988429,-4.783099361,0.586771118
LOC113182576,-0.233424312,-0.35593239,-0.586873815,0.557595177,0.927988429,-4.717911916,-0.586417217
LOC113191680,-0.184431283,-0.800476536,-0.585301199,0.558724781,0.927988429,-4.706349843,-0.584736688
LOC113196270,0.110571984,2.416270666,0.584870673,0.558678052,0.927988429,-4.888267037,0.584806175
Lrg1,0.315939139,2.695108335,0.585474346,0.558265734,0.927988429,-4.903770811,0.58541942
Lrrc61,-0.047027213,5.315633475,-0.586044415,0.557849725,0.927988429,-5.245444372,-0.586038377
Mindy4b,0.562225306,0.671520259,0.585279387,0.558489294,0.927988429,-4.788203243,0.585086889
Mrln,0.173648518,0.776089367,0.587275796,0.557237317,0.927988429,-4.73730633,0.586949956
Ndn,0.141745153,8.252986651,0.58501487,0.558541499,0.927988429,-5.252287992,0.585009248
Pigg,0.044818809,5.602598548,0.588130408,0.556449008,0.927988429,-5.232242999,0.588124085
Ppie,0.076761893,4.978296397,0.586270794,0.557698711,0.927988429,-5.203824445,0.586263119
Prdx5,0.085085059,8.060604283,0.584843452,0.558656006,0.927988429,-5.300587489,0.584838958
Prkar1b,0.129455363,8.8885498,0.586221925,0.557731233,0.927988429,-5.204155202,0.586214717
Prrx1,0.091918943,4.051320089,0.587583123,0.556830372,0.927988429,-4.989221166,0.58755597
Pum1,-0.044918475,7.439809563,-0.587763431,0.556695133,0.927988429,-5.234161118,-0.587757413
Rnf168,-0.05510989,4.607892765,-0.585901974,0.557955867,0.927988429,-5.017937104,-0.585880434
Ropn1l,0.125572042,3.401481774,0.585786262,0.558055191,0.927988429,-4.899019283,0.585732647
Setd1b,-0.090851514,5.445560334,-0.585364664,0.558306577,0.927988429,-5.246043678,-0.585358664
Slc5a7,-0.447594874,-0.93869435,-0.588649526,0.556609565,0.927988429,-4.689437237,-0.587884881
Suds3,0.052428982,5.805780443,0.585250438,0.558385025,0.927988429,-5.170809302,0.585241975
Tlr7,0.123201298,0.79175787,0.584944916,0.558756079,0.927988429,-4.755236096,0.58469015
Tmem102,0.25554794,0.77300026,0.586196454,0.557867936,0.927988429,-4.783732408,0.586011278
Tmem206,0.069762315,3.94571345,0.588363081,0.556321313,0.927988429,-4.907406415,0.588314354
Trpc7,-0.179530408,2.950361795,-0.585907658,0.557972342,0.927988429,-4.90512201,-0.585855918
Vma21,0.077234709,3.575582592,0.585405969,0.558300574,0.927988429,-4.942551876,0.585367594
Wdr5b,-0.081703187,3.265062822,-0.587954833,0.556610901,0.927988429,-4.863016143,-0.587882891
Zc3h3,-0.082261892,4.16106972,-0.58494729,0.558593714,0.927988429,-5.079537659,-0.584931594
Znf451,-0.051604606,6.541927626,-0.587198354,0.557074523,0.927988429,-5.234612607,-0.58719236
Ahctf1,-0.069212442,6.707611497,-0.583797886,0.559358854,0.92806082,-5.334202812,-0.583794091
Cenpv,0.049704539,5.481016994,0.583881912,0.559308904,0.92806082,-5.08888574,0.583868327
Col9a1,-0.217094724,4.328548509,-0.583679854,0.559442184,0.92806082,-5.156380359,-0.583670254
Flot1,0.074367191,7.107064752,0.583562852,0.559516997,0.92806082,-5.335281641,0.583559081
Glp1r,-0.257438784,3.362130592,-0.583523588,0.55955791,0.92806082,-4.997044828,-0.583498287
Gne,-0.052667795,4.788131913,-0.583767771,0.55938584,0.92806082,-5.089842756,-0.583753986
Kl,-0.186060792,1.474409422,-0.583663937,0.559558905,0.92806082,-4.785008463,-0.583496808
LOC113185611,0.302919682,0.230438487,0.584839086,0.559022456,0.92806082,-4.705595653,0.584294108
LOC113187098,-0.066659941,6.168749145,-0.584472845,0.558905696,0.92806082,-5.267678976,-0.584467692
LOC113191292,0.226166438,6.354733806,0.583593492,0.559496742,0.92806082,-5.311515837,0.58358918
LOC113194144,0.066553645,5.824798787,0.584085193,0.559166833,0.92806082,-5.252995241,0.58407949
Marveld2,-0.108632145,3.548658756,-0.58418858,0.559111198,0.92806082,-5.000686315,-0.584162189
Ret,-0.114943164,6.205547494,-0.583730925,0.559405002,0.92806082,-5.255241378,-0.583725509
Scn3b,-0.077373893,5.988792144,-0.583971699,0.559242673,0.92806082,-5.279859527,-0.583966764
Lrrc8d,-0.049039865,5.941242629,-0.583419947,0.559616107,0.928065747,-5.176482924,-0.583411813
Erbb3,0.320857411,1.79476365,0.583393201,0.559701989,0.928118231,-4.834287023,0.583284212
LOC113177490,-0.060316458,4.568871961,-0.583203598,0.559768632,0.928138805,-5.042809649,-0.583185201
Ak3,0.048277233,5.348157855,0.580421798,0.561635793,0.928406446,-5.180349377,0.580413515
Bco2,-0.139164906,1.262504581,-0.58213036,0.560676468,0.928406446,-4.740451038,-0.581837016
C5ar2,0.187663725,-0.536010153,0.580478984,0.562142556,0.928406446,-4.684370166,0.579662026
Cdk5rap3,-0.067732685,6.890851488,-0.582368574,0.560323009,0.928406446,-5.209589863,-0.582361796
Csmd1,0.067830691,4.399366719,0.579513552,0.56226554,0.928406446,-4.952150141,0.5794797
Dcaf12,-0.064139531,6.032252808,-0.58279121,0.56003906,0.928406446,-5.186720305,-0.58278349
Dirc2,0.047545422,5.650663358,0.581834034,0.560685447,0.928406446,-5.134324775,0.581823687
Efcab10,0.060851963,4.269778983,0.579602694,0.562196453,0.928406446,-5.029280115,0.579582121
Erlec1,-0.045340101,6.823918812,-0.581268992,0.561063567,0.928406446,-5.217312019,-0.581262475
Fbrsl1,-0.058895403,7.096988068,-0.580711101,0.561437691,0.928406446,-5.337843958,-0.580707375
