Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0653.1,IRF9,0.14,0,0,13,0,Down,23600,0.965929414,20,0,2347,13,Down,1,-6.399786972,2.084469936,1.813E-12
MA1102.2,CTCFL,0.04,11,0.6,669,0.3,Up,29566,0.04518113,20,10,2347,535,Up,0.012573521,-1.54870063,1.166932096,1.900543086
MA0787.1,POU3F2,0.13,0,0,654,0.3,Down,28790,0.080465118,20,0,2347,532,Down,0.012146882,-3.748911866,-3.217280277,-1.915535205
MA1508.1,IKZF1,0.01,0,0,283,0.1,Down,26130,0.382119969,20,0,2347,266,Down,0.156242226,-4.248234862,-2.218634285,-0.806201581
MA0710.1,NOTO,0.07,13,0.7,5180,2.2,Down,34123,4.65E-04,20,7,2347,1663,Down,0.001004405,-0.97378235,-0.953758117,-2.998091158
MA0880.1,Dlx3,0.02,16,0.8,3988,1.7,Down,29990,0.032171118,20,8,2347,1414,Down,0.07084649,-1.000461072,-0.539256182,-1.149681665
MA0071.1,RORA,0.13,59,3,4679,2,Up,31056.5,0.012677657,20,19,2347,1953,Up,0.230255437,-0.168606844,0.192914117,0.637790106
MA0489.1,JUN(var.2),0.03,1,0.1,367,0.2,Down,25096,0.593164971,20,1,2347,276,Down,0.500909468,-3.429181638,-0.686815732,-0.30024076
MA0030.1,FOXF2,0.11,6,0.3,2093,0.9,Down,30843,0.015412072,20,6,2347,1280,Down,0.040209517,-1.265765096,-0.782694382,-1.395671144
MA0513.1,SMAD2::SMAD3::SMAD4,0.05,2,0.1,85,0,Up,24985,0.61863635,20,2,2347,83,Up,0.159802571,-3.92441453,1.77758124,0.796416237
MA0640.2,ELF3,0.11,29,1.5,2171,0.9,Up,27927.5,0.143029573,20,15,2347,1394,Up,0.176923457,-0.577366459,0.348021529,0.752214584
MA0069.1,PAX6,0.13,1,0.1,40,0,Up,24253,0.796969962,20,1,2347,39,Up,0.289833923,-4.832859099,2.12053919,0.537850785
MA0104.4,MYCN,0.12,22,1.1,1688,0.7,Up,25175.5,0.575222621,20,7,2347,677,Up,0.620541951,-1.621746858,0.342170897,0.207228853
MA0833.2,ATF4,0.14,2,0.1,597,0.3,Down,26357,0.342833098,20,2,2347,516,Down,0.279271706,-2.609954407,-0.851339006,-0.553973062
MA0602.1,Arid5a,0.14,44,2.2,9461,4,Down,29429,0.05023587,20,12,2347,1854,Down,0.051445686,-0.526895352,-0.373600925,-1.288651039
MA0807.1,TBX5,0.08,21,1.1,2185,0.9,Up,24590.5,0.712751728,20,14,2347,1386,Up,0.368816126,-0.629624275,0.260106532,0.433190098
MA0081.2,SPIB,0.06,3,0.2,95,0,Up,26066,0.393676853,20,3,2347,92,Up,0.043511437,-3.607862532,2.115330899,1.361396572
MA0820.1,FIGLA,0.01,7,0.4,314,0.1,Up,27724,0.162191812,20,6,2347,285,Up,0.028383013,-2.348337397,1.382450221,1.54694151
MA1532.1,NR1D2,0.14,6,0.3,220,0.1,Up,26154,0.377840331,20,4,2347,210,Up,0.099759644,-2.833430011,1.291606016,1.001045109
MA0778.1,NFKB2,0.12,8,0.4,674,0.3,Up,25654.5,0.472904233,20,5,2347,336,Up,0.193439686,-2.350283567,0.904326362,0.713454421
